"waveid","personid","alterid","tie"
1,"pe0101","pe0301","1"
1,"pe0101","pe1601","1"
1,"pe0101","pe2401","1"
1,"pe0101","pe2701","1"
1,"pe0101","pe3901","1"
1,"pe0102","pe0502","1"
1,"pe0102","pe2402","1"
1,"pe0102","pe3102","1"
1,"pe0102","pe4801","1"
1,"pe0102","pe7060","1"
1,"pe0102","pe7060","1"
1,"pe0102","pe7078","1"
1,"pe0102","pe7228","1"
1,"pe0102","pe7287","1"
1,"pe0102","pe7507","1"
1,"pe0201","pe0301","1"
1,"pe0201","pe7197","1"
1,"pe0202","pe0102","1"
1,"pe0202","pe0302","1"
1,"pe0202","pe0502","1"
1,"pe0202","pe0801","1"
1,"pe0202","pe1602","1"
1,"pe0202","pe2202","1"
1,"pe0202","pe2301","1"
1,"pe0202","pe2902","1"
1,"pe0202","pe3802","1"
1,"pe0202","pe3901","1"
1,"pe0301","pe2701","1"
1,"pe0301","pe2902","1"
1,"pe0301","pe3901","1"
1,"pe0302","pe7349","1"
1,"pe0302","pe7362","1"
1,"pe0401","pe2701","1"
1,"pe0401","pe2801","1"
1,"pe0401","pe5701","1"
1,"pe0501","pe4901","1"
1,"pe0501","pe7007","1"
1,"pe0502","pe0101","1"
1,"pe0502","pe0601","1"
1,"pe0502","pe1001","1"
1,"pe0502","pe2401","1"
1,"pe0502","pe2402","1"
1,"pe0502","pe3101","1"
1,"pe0502","pe3901","1"
1,"pe0502","pe4901","1"
1,"pe0502","pe7007","1"
1,"pe0502","pe7101","1"
1,"pe0502","pe7414","1"
1,"pe0601","pe2701","1"
1,"pe0601","pe2801","1"
1,"pe0601","pe4901","1"
1,"pe0701","pe3401","1"
1,"pe0701","pe7192","1"
1,"pe0701","pe7453","1"
1,"pe0702","pe7435","1"
1,"pe0801","pe0502","1"
1,"pe0801","pe2402","1"
1,"pe0801","pe2602","1"
1,"pe0801","pe3502","1"
1,"pe1001","pe0101","1"
1,"pe1001","pe0601","1"
1,"pe1001","pe3501","1"
1,"pe1001","pe3502","1"
1,"pe1001","pe3504","1"
1,"pe1001","pe3510","1"
1,"pe1001","pe4301","1"
1,"pe1001","pe4501","1"
1,"pe1001","pe6101","1"
1,"pe1001","pe7057","1"
1,"pe1001","pe7187","1"
1,"pe1001","pe7329","1"
1,"pe1002","pe0602","1"
1,"pe1002","pe1302","1"
1,"pe1002","pe2002","1"
1,"pe1002","pe2602","1"
1,"pe1002","pe3502","1"
1,"pe1101","pe0701","1"
1,"pe1101","pe0702","1"
1,"pe1101","pe1201","1"
1,"pe1101","pe1202","1"
1,"pe1101","pe3401","1"
1,"pe1101","pe3402","1"
1,"pe1102","pe0502","1"
1,"pe1102","pe0702","1"
1,"pe1102","pe2402","1"
1,"pe1102","pe2802","1"
1,"pe1102","pe3402","1"
1,"pe1102","pe7081","1"
1,"pe1201","pe0701","1"
1,"pe1201","pe1101","1"
1,"pe1201","pe7015","1"
1,"pe1201","pe7169","1"
1,"pe1201","pe7194","1"
1,"pe1201","pe7204","1"
1,"pe1201","pe7237","1"
1,"pe1201","pe7361","1"
1,"pe1202","pe0101","1"
1,"pe1202","pe0501","1"
1,"pe1202","pe1601","1"
