"ego","site_code","sex","group_id","dob","dod","father","mother"
"pe0101","PE","male","no","1981-99-99",NA,"pe9718","pe3901"
"pe0102","PE","female","no","1982-99-99",NA,"pe9109","pe9046"
"pe0103","PE","male","no","2004-99-99",NA,"pe0101","pe0102"
"pe0104","PE","male","no","2007-99-99",NA,"pe0101","pe0102"
"pe0105","PE","female","no","2010-99-99",NA,"pe0101","pe0102"
"pe0106","PE","female","no","2012-99-99",NA,"pe0101","pe0102"
"pe0107","PE","male","no","2016-99-99",NA,"pe0101","pe0102"
"pe0108","PE","female","no","2014-99-99",NA,"pe0101","pe0102"
"pe0201","PE","male","no","1995-99-99",NA,"pe3801","pe3802"
"pe0202","PE","female","no","1994-99-99",NA,"pe9026","pe9167"
"pe0203","PE","female","no","2013-99-99",NA,"pe0201","pe0202"
"pe0204","PE","female","no","2015-99-99",NA,"pe0201","pe0202"
"pe0205","PE","male","no","2018-99-99",NA,"pe0201","pe0202"
"pe0301","PE","male","no","1993-99-99",NA,"pe3801","pe3802"
"pe0302","PE","female","no","1998-99-99",NA,"pe9069","pe9171"
"pe0303","PE","male","no","2011-99-99",NA,"pe0301","pe0302"
"pe0304","PE","male","no","2012-99-99",NA,"pe0301","pe0302"
"pe0305","PE","female","no","2014-99-99",NA,"pe0301","pe0302"
"pe0306","PE","female","no","2017-99-99",NA,"pe0301","pe0302"
"pe0401","PE","female","member","1983-99-99",NA,"pe9107","pe9125"
"pe0402","PE","male","no","1998-99-99",NA,"pe6101","pe0401"
"pe0403","PE","male","no","2000-99-99",NA,"pe6101","pe0401"
"pe0404","PE","male","no","2003-99-99",NA,"pe6101","pe0401"
"pe0405","PE","male","no","2005-99-99",NA,"pe6101","pe0401"
"pe0406","PE","male","no","2010-99-99",NA,"pe6101","pe0401"
"pe0407","PE","female","no","2012-99-99",NA,"pe6101","pe0401"
"pe0408","PE","female","no","2008-99-99",NA,"pe6101","pe0401"
"pe0501","PE","male","no","1969-99-99",NA,"pe9718","pe3901"
"pe0502","PE","female","no","1978-99-99",NA,"pe9702","pe9703"
"pe0503","PE","female","no","2004-99-99",NA,"pe0501","pe0502"
"pe0504","PE","female","no","2007-99-99",NA,"pe0501","pe0502"
"pe0505","PE","male","no","2000-99-99",NA,"pe0501","pe0502"
"pe0506","PE","male","no","2002-99-99",NA,"pe0501","pe0502"
"pe0507","PE","female","no","2015-99-99",NA,"pe0501","pe0502"
"pe0509","PE","male","no","2010-99-99",NA,"pe0501","pe0502"
"pe0510","PE","female","no","2004-99-99",NA,"pe0501","pe0502"
"pe0511","PE","male","no","2011-99-99",NA,"pe0501","pe0502"
"pe0514","PE","male","no","2006-99-99",NA,"pe0501","pe0502"
"pe0515","PE","female","no","1996-99-99",NA,"pe0501","pe0502"
"pe0601","PE","male","no","1980-99-99",NA,"pe3101","pe9061"
"pe0602","PE","female","no","1985-99-99",NA,"pe9718","pe3901"
"pe0603","PE","male","no","2003-99-99",NA,"pe0601","pe0602"
"pe0604","PE","female","no","2005-99-99",NA,"pe0601","pe0602"
"pe0605","PE","female","no","2007-99-99",NA,"pe0601","pe0602"
"pe0607","PE","male","no","2010-99-99",NA,"pe0601","pe0602"
"pe0608","PE","male","no","2012-99-99",NA,"pe0601","pe0602"
"pe0609","PE","male","no","2013-99-99",NA,"pe0601","pe0602"
"pe0610","PE","female","no","2016-99-99",NA,"pe0601","pe0602"
"pe0701","PE","male","no","1988-99-99",NA,"pe3401","pe3402"
"pe0702","PE","female","no","1993-99-99",NA,"pe9822","pe9090"
"pe0703","PE","male","no","2011-99-99",NA,"pe0701","pe0702"
"pe0704","PE","female","no","2012-99-99",NA,"pe0701","pe0702"
"pe0705","PE","female","no","2008-99-99",NA,"pe0701","pe0702"
"pe0706","PE","male","no","2016-99-99",NA,"pe0701","pe0702"
"pe0801","PE","female","no","1994-99-99",NA,"pe9086","pe9137"
"pe0802","PE","male","no","2008-99-99",NA,"pe0101","pe0801"
"pe0803","PE","male","no","2010-99-99",NA,"pe0101","pe0801"
"pe0804","PE","female","no","2014-99-99",NA,"pe0101","pe0801"
"pe0805","PE","female","no","2002-99-99",NA,"missing","missing"
"pe0806","PE","female","no","2018-99-99",NA,"pe0101","pe0801"
"pe1001","PE","male","no","1983-99-99",NA,"pe3501","pe3502"
"pe1002","PE","female","no","1985-99-99",NA,"pe9055","pe9186"
"pe1003","PE","male","no","2002-99-99",NA,"pe1001","pe1002"
"pe1004","PE","male","no","2005-99-99",NA,"pe1001","pe1002"
"pe1005","PE","female","no","2010-99-99",NA,"pe1001","pe1002"
"pe1006","PE","male","no","2007-99-99",NA,"pe1001","pe1002"
"pe1007","PE","male","no","2013-99-99",NA,"pe1001","pe1002"
"pe1008","PE","female","no","2014-99-99",NA,"pe1001","pe1002"
"pe1009","PE","male","no","2017-99-99",NA,"pe1001","pe1002"
"pe1101","PE","male","no","1966-99-99",NA,"pe9718","pe9832"
"pe1102","PE","female","no","1961-99-99",NA,"pe9022","pe9040"
"pe1103","PE","female","no","2009-99-99",NA,"pe1101","pe1102"
"pe1104","PE","male","no","2011-99-99",NA,"pe1101","pe1102"
"pe1105","PE","male","no","1995-99-99",NA,"missing","pe1102"
"pe1201","PE","male","no","1977-99-99",NA,"pe9179","pe9114"
"pe1202","PE","female","no","1985-99-99",NA,"pe9123","pe9063"
"pe1203","PE","female","no","2006-99-99",NA,"pe1201","missing"
"pe1204","PE","male","no","2008-99-99",NA,"pe1201","missing"
"pe1205","PE","male","no","2008-99-99",NA,"pe1201","missing"
"pe1206","PE","male","no","2010-99-99",NA,"pe1201","pe1202"
"pe1207","PE","male","no","2011-99-99",NA,"pe1201","pe1202"
"pe1208","PE","male","no","2013-99-99",NA,"pe1201","pe1202"
"pe1301","PE","male","no","1993-99-99",NA,"pe3101","pe3201"
"pe1302","PE","female","no","1987-99-99",NA,"pe9065","pe9126"
"pe1303","PE","female","no","2017-99-99",NA,"pe1301","pe1302"
"pe1601","PE","male","no","1984-99-99",NA,"pe9718","pe3901"
"pe1602","PE","female","no","1991-99-99",NA,"pe9062","pe9166"
"pe1603","PE","female","no","2014-99-99",NA,"pe1601","pe1602"
"pe1604","PE","female","no","2016-99-99",NA,"pe1601","pe1602"
"pe1605","PE","male","no","2018-99-99",NA,"pe1601","pe1602"
"pe1701","PE","male","no","1963-99-99",NA,"pe9704","pe9705"
"pe1702","PE","female","no","1957-99-99",NA,"pe9729","pe9707"
"pe1703","PE","male","no","1986-99-99",NA,"missing","missing"
"pe1704","PE","female","no","1993-99-99",NA,"missing","missing"
"pe1705","PE","male","no","1988-99-99",NA,"missing","missing"
"pe1706","PE","female","no","1993-99-99",NA,"missing","missing"
"pe1707","PE","male","no","2016-99-99",NA,"missing","missing"
"pe1901","PE","male","no","1966-99-99",NA,"pe9104","pe9169"
"pe1902","PE","female","no","1969-99-99",NA,"pe9201","pe9162"
"pe1903","PE","male","no","1994-99-99",NA,"pe1901","pe1902"
"pe1904","PE","female","no","2003-99-99",NA,"pe1901","pe1902"
"pe1905","PE","male","no","2004-99-99",NA,"pe1901","pe1902"
"pe1906","PE","female","no","2007-99-99",NA,"pe1901","pe1902"
"pe1907","PE","female","no","2011-99-99",NA,"missing","missing"
"pe1908","PE","female","no","2011-99-99",NA,"missing","missing"
"pe1909","PE","female","no","2016-99-99",NA,"missing","missing"
"pe2001","PE","male","no","1986-99-99",NA,"pe3101","pe3201"
"pe2002","PE","female","no","1995-99-99",NA,"pe9105","pe9138"
"pe2003","PE","female","no","2013-99-99",NA,"pe2001","pe2002"
