"waveid","personid","su_id_1","su_id_1_2","su_id_1_3","su_id_2","birth_year","age","gender","status","external_wealth","relationshiptohh","head","marital_status","years_education","other_noetic","occupation","work_ability","location","father_noetic","father_edu","su_id"
1,"pe0101","na","pesu101","pesu108","pessu101108",1981,NA,"male",1,NA,"focal",1,"married",1,"y","farmer","strong","mitini",NA,NA,NA
1,"pe0102","pesu101","","","pessu101108",1982,NA,"female",0,NA,"wife",0,"married",0,"y","farmer","strong","mitini",NA,NA,NA
1,"pe0103","pesu101","","","pessu101108",2004,NA,"male",0,NA,"son",0,"unmarried",6,"y","none","strong","mitini",NA,NA,NA
1,"pe0104","pesu101","","","pessu101108",2007,NA,"male",0,NA,"son",0,"unmarried",4,"x","na","strong","mitini",NA,NA,NA
1,"pe0105","pesu101","","","pessu101108",2010,NA,"female",0,NA,"daughter",0,"unmarried",1,"x","na","strong","mitini",NA,NA,NA
1,"pe0106","pesu101","","","pessu101108",2012,NA,"female",0,NA,"daughter",0,"unmarried",0.5,"x","na","strong","mitini",NA,NA,NA
1,"pe0107","pesu101","","","pessu101108",2016,NA,"male",0,NA,"son",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0108","pesu101","","","pessu101108",2014,NA,"female",0,NA,"daughter",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0201","pesu102","","","pessu102",1995,NA,"male",0,NA,"focal",1,"married",0,"y","farmer","medium","mitini",NA,NA,NA
1,"pe0202","pesu102","","","pessu102",1994,NA,"female",0,NA,"wife",0,"married",2,"y","small business","weak","mitini",NA,NA,NA
1,"pe0203","pesu102","","","pessu102",2013,NA,"female",0,NA,"daughter",0,"unmarried",0.5,"x","na","na","mitini",NA,NA,NA
1,"pe0204","pesu102","","","pessu102",2015,NA,"female",0,NA,"daughter",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0205","pesu102","","","pessu102",2018,NA,"male",0,NA,"son",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0301","pesu103","","","pessu103",1993,NA,"male",1,NA,"focal",1,"married",0,"y","farmer","strong","mitini",NA,NA,NA
1,"pe0302","pesu103","","","pessu103",1998,NA,"female",0,NA,"wife",0,"married",2,"y","small business","strong","mitini",NA,NA,NA
1,"pe0303","pesu103","","","pessu103",2011,NA,"male",0,NA,"son",0,"unmarried",0.5,"x","na","strong","mitini",NA,NA,NA
1,"pe0304","pesu103","","","pessu103",2012,NA,"male",0,NA,"son",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0305","pesu103","","","pessu103",2014,NA,"female",0,NA,"daughter",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0306","pesu103","","","pessu103",2017,NA,"female",0,NA,"daughter",0,"unmarried",0,"x","na","na","mitini",NA,NA,NA
1,"pe0401","pesu104","","","pessu104161",1983,NA,"female",1,NA,"wife",0,"married",8,"x","farmer","strong","mitini",NA,NA,NA
1,"pe0402","pesu104","","","pessu104161",1998,NA,"male",0,NA,"son",0,"unmarried",6,"x","farmer","strong","mitini",NA,NA,NA
1,"pe0403","pesu104","","","pessu104161",2000,NA,"male",0,NA,"son",0,"unmarried",5,"y","crafts","strong","mitini",NA,NA,NA
