"waveid","su_id_1","su_id_2","personid"
1,NA,"pessu101108","pe0101"
1,"pesu101","pessu101108","pe0102"
1,"pesu101","pessu101108","pe0103"
1,"pesu101","pessu101108","pe0104"
1,"pesu101","pessu101108","pe0105"
1,"pesu101","pessu101108","pe0106"
1,"pesu101","pessu101108","pe0107"
1,"pesu101","pessu101108","pe0108"
1,"pesu102","pessu102","pe0201"
1,"pesu102","pessu102","pe0202"
1,"pesu102","pessu102","pe0203"
1,"pesu102","pessu102","pe0204"
1,"pesu102","pessu102","pe0205"
1,"pesu103","pessu103","pe0301"
1,"pesu103","pessu103","pe0302"
1,"pesu103","pessu103","pe0303"
1,"pesu103","pessu103","pe0304"
1,"pesu103","pessu103","pe0305"
1,"pesu103","pessu103","pe0306"
1,"pesu104","pessu104161","pe0401"
1,"pesu104","pessu104161","pe0402"
1,"pesu104","pessu104161","pe0403"
1,"pesu104","pessu104161","pe0404"
1,"pesu104","pessu104161","pe0405"
1,"pesu104","pessu104161","pe0406"
1,"pesu104","pessu104161","pe0407"
1,"pesu104","pessu104161","pe0408"
1,"pesu105","pessu105","pe0501"
1,"pesu105","pessu105","pe0502"
1,"pesu105","pessu105","pe0503"
1,"pesu105","pessu105","pe0504"
1,"pesu105","pessu105","pe0505"
1,"pesu105","pessu105","pe0506"
1,"pesu105","pessu105","pe0507"
1,"pesu105","pessu105","pe0509"
1,"pesu105","pessu105","pe0510"
1,"pesu105","pessu105","pe0511"
1,"pesu105","pessu105","pe0514"
1,"pesu105","pessu105","pe0515"
1,"pesu106","pessu106","pe0601"
1,"pesu106","pessu106","pe0602"
1,"pesu106","pessu106","pe0603"
1,"pesu106","pessu106","pe0604"
1,"pesu106","pessu106","pe0605"
1,"pesu106","pessu106","pe0607"
1,"pesu106","pessu106","pe0608"
1,"pesu106","pessu106","pe0609"
1,"pesu106","pessu106","pe0610"
1,"pesu107","pessu107","pe0701"
1,"pesu107","pessu107","pe0702"
1,"pesu107","pessu107","pe0703"
1,"pesu107","pessu107","pe0704"
1,"pesu107","pessu107","pe0705"
1,"pesu107","pessu107","pe0706"
1,"pesu108","pessu101108","pe0801"
1,"pesu108","pessu101108","pe0802"
1,"pesu108","pessu101108","pe0803"
1,"pesu108","pessu101108","pe0804"
1,"pesu108","pessu101108","pe0805"
1,"pesu108","pessu101108","pe0806"
1,"pesu110","pessu110","pe1001"
1,"pesu110","pessu110","pe1002"
1,"pesu110","pessu110","pe1003"
1,"pesu110","pessu110","pe1004"
1,"pesu110","pessu110","pe1005"
1,"pesu110","pessu110","pe1006"
1,"pesu110","pessu110","pe1007"
1,"pesu110","pessu110","pe1008"
1,"pesu110","pessu110","pe1009"
1,"pesu111","pessu111","pe1101"
1,"pesu111","pessu111","pe1102"
1,"pesu111","pessu111","pe1103"
1,"pesu111","pessu111","pe1104"
1,"pesu111","pessu111","pe1105"
1,"pesu112","pessu112","pe1201"
1,"pesu112","pessu112","pe1202"
1,"pesu112","pessu112","pe1203"
1,"pesu112","pessu112","pe1204"
1,"pesu112","pessu112","pe1205"
1,"pesu112","pessu112","pe1206"
1,"pesu112","pessu112","pe1207"
1,"pesu112","pessu112","pe1208"
1,"pesu113","pessu113","pe1301"
1,"pesu113","pessu113","pe1302"
1,"pesu113","pessu113","pe1303"
1,"pesu116","pessu116","pe1601"
1,"pesu116","pessu116","pe1602"
1,"pesu116","pessu116","pe1603"
1,"pesu116","pessu116","pe1604"
1,"pesu116","pessu116","pe1605"
1,"pesu117","pessu117","pe1701"
1,"pesu117","pessu117","pe1702"
1,"pesu117","pessu117","pe1703"
1,"pesu117","pessu117","pe1704"
1,"pesu117","pessu117","pe1705"
1,"pesu117","pessu117","pe1706"
1,"pesu117","pessu117","pe1707"
1,"pesu119","pessu119","pe1901"
1,"pesu119","pessu119","pe1902"
1,"pesu119","pessu119","pe1903"
1,"pesu119","pessu119","pe1904"
1,"pesu119","pessu119","pe1905"
1,"pesu119","pessu119","pe1906"
1,"pesu119","pessu119","pe1907"
1,"pesu119","pessu119","pe1908"
1,"pesu119","pessu119","pe1909"
1,"pesu120","pessu120","pe2001"
1,"pesu120","pessu120","pe2002"
1,"pesu120","pessu120","pe2003"
1,"pesu120","pessu120","pe2004"
1,"pesu120","pessu120","pe2005"
1,"pesu121","pessu121","pe2101"
1,"pesu121","pessu121","pe2102"
1,"pesu121","pessu121","pe2103"
1,"pesu121","pessu121","pe2104"
1,"pesu122","pessu122","pe2201"
1,"pesu122","pessu122","pe2202"
1,"pesu122","pessu122","pe2203"
1,"pesu122","pessu122","pe2204"
1,"pesu122","pessu122","pe2205"
1,"pesu122","pessu122","pe2206"
1,"pesu122","pessu122","pe2207"
1,"pesu122","pessu122","pe2208"
