"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","unit","sharingunit2","nwives2018","base.wealth","house.type.1","house.type.2","house.type.3","house.type.4","house.type.5","house.type.6","house.type.7","house.type.8","house.type.9","house.type.10","house.type.11","house.type.12","house.type.13","house.type.14","house.type.15","house.type.16","traditional_stove","charcoal_stove","jerry","bucket","mat_traditional","mat_purchased","rope_bed","chair","mosquito_net","mattress","radio","bicycle","mobile_phone","large_table","small_table","couch","donkey","oxcart","solar_panel","gas.cooker","tv_dvd_player","satelite.dish","generator","computer","refrigerator","freezer","modern_bed","goat","cow","chicken","duck","dog","machete","hoe","axe","wheelbarrow","sprayer","pump","torch_vol","digging_tool_1_vol","digging_tool_2_vol","misc_tools_vol","hammer_vol","shovel_spade_vol","digging_tool_3_vol","mat_for_clove_drying_vol","sharp_pole_vol","car","gun","cloves_amount","palms_amount","planted_trees_amount","oranges_amount_vol","cinnamon_amount_vol","cyprus_amount_vol","acacia_amount_vol","jackfruit_amount_vol","mango_amount_vol","hook_line","drag_net","seine_net","dugout","cloth_sail","two_person_saw","chainsaw","shop","x2_inch_net_vol","mask...snorkel.pipe_vol","x4_inch_net_vol","x1_inch_net_vol","metal_saw_vol","level_vol","tape_vol","hand_saw_vol","plank_vol","flippers_vol","x1.5_inch_net_vol","plane_vol","iron.bar..mtarimbo._vol","x.yearly_average_money_loaned_out","x.yearly_average_money_borrowed","x.yearly_average_received_remittances"
1,"pesu101","sometimes","never","never","never","never",NA,NA,"101","pessu101108","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","10","1","1","4","0","4","1","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","20","10","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","22.08870825","441.774165","0"
1,"pesu102","sometimes","rarely","rarely","never","never","pe0201",NA,"102","pessu102","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","25","2","2","4","0","4","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","3","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.1774165","13.25322495","44.1774165"
1,"pesu103","never","never","never","never","never","pe0301",NA,"103","pessu103","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","15","5","1","4","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","30","80","0","0","0","0","0","0","0","3","0","2","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","13.25322495","6.626612476","0"
1,"pesu104","often","never","never","never","never",NA,NA,"104","pessu104161","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","4","9","3","1","5","0","4","1","0","3","4","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","3","2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","20","20","100","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","88.35483301","88.35483301","0"
1,"pesu105","never","never","never","never","never","pe0501",NA,"105","pessu105","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","12","15","4","3","4","0","5","4","4","1","4","2","1","0","0","0","2","0","0","0","0","1","0","0","4","0","0","0","0","0","3","6","3","0","0","0","0","1","2","0","0","0","1","0","0","1","0","350","40","300","0","0","0","0","20","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","132.5322495","0","132.5322495"
1,"pesu106","never","never","never","never","never","pe0601",NA,"106","pessu106","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","4","2","7","0","8","2","0","1","2","1","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","14","0","0","1","2","1","0","0","0","0","1","0","0","0","0","0","4","0","0","0","80","35","50","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","30.92419155","132.5322495","0"
1,"pesu107","often","often","never","never","never","pe0701",NA,"107","pessu107","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","4","9","3","2","4","2","4","1","0","0","1","1","1","0","0","0","3","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","30","80","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","26.5064499","132.5322495","0"
1,"pesu108","sometimes","never","never","never","never",NA,NA,"108","pessu101108","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","3","8","2","0","4","0","3","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","2","2","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","100","20","10","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","22.08870825","441.774165","0"
1,"pesu110","never","never","never","never","never","pe1001",NA,"110","pessu110","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","15","5","2","6","0","4","1","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","50","0","70","10","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
1,"pesu111","rarely","never","never","never","never","pe1101",NA,"111","pessu111","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","10","3","3","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","25","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.835483301","30.92419155","88.35483301"
