"SharingUnit2","size_ssu","CashValue_ssu"
"PESSU101108",14,24053.88454325
"PESSU102",5,7318.87160805
"PESSU103",6,31000.606612474
"PESSU104161",15,188092.4
"PESSU105",12,272883.274499
"PESSU106",9,64474.55194205
"PESSU107",6,23561.2442004
"PESSU110",9,29294.17
"PESSU111",5,18557.116124761
"PESSU112",8,52665.75677505
"PESSU113",3,2227.492258349
"PESSU116",5,12707.20516701
"PESSU117",7,8836.30354126
"PESSU119",9,14518.06
"PESSU120",5,8212.82095775
"PESSU121",4,20112.57870825
"PESSU122",8,130589.4470825
"PESSU123124",10,55168.38322495
"PESSU125",8,8821.124516701
"PESSU126",12,245147.12258349
"PESSU127",9,278326.205501
"PESSU128",6,51098.233224949
"PESSU129",7,6042.210641449
"PESSU131132",17,12090.28032514
"PESSU133",11,38490.98
"PESSU134",12,25334.89
"PESSU135",5,131221.0867485
"PESSU137",3,10293.6441651
"PESSU138",7,24276.9591942
"PESSU139",4,7705.401129175
"PESSU143",11,571370.209175
"PESSU144",4,33922.69548329
"PESSU145157",11,207999.63935854
"PESSU147",2,612993.48966601
"PESSU148",5,929066.245167
"PESSU149",9,524265.8129174
"PESSU152154",16,90165.4516699
"PESSU162",1,1758.49258349
