"Variable","Median","HPDI:L","HPDI:H","Mean","SD","type"
"Sender effects SD","0.914","0.598","1.284","0.932","0.217","Sender Effects"
"Wealth sender effect","0.559","0.283","0.786","0.559","0.155","Sender Effects"
"Receiver effects SD","1.205","0.836","1.612","1.232","0.253","Receiver Effects"
"Dyadic effects SD","0.356","0","0.926","0.434","0.35","Dyadic Effects"
"Wealth distance","-0.14","-1.07","0.798","-0.121","0.571","Dyadic Effects"
"Genetic relatedness","1.446","0.045","3.006","1.44","0.9","Dyadic Effects"
"Physical distance","-4.442","-5.313","-3.467","-4.451","0.561","Dyadic Effects"
"Generalized reciprocity","0.261","-0.099","0.574","0.252","0.207","Dyadic Effects"
"Dyadic reciprocity","0.176","-0.478","0.782","0.148","0.395","Dyadic Effects"
"Any to Any","-2.295","-6.345","1.146","-2.296","2.256","Block Effects"
"religious group to religious group","-4.684","-6.604","-2.522","-4.654","1.257","Block Effects"
"religious group to Non-group ","-4.563","-6.684","-2.702","-4.541","1.213","Block Effects"
"Non-group to religious group","-4.888","-6.774","-2.671","-4.891","1.246","Block Effects"
"Non-group to Non-group","-3.895","-5.677","-1.66","-3.867","1.222","Block Effects"
"Non-group (develop) to Non-group (develop)","-5.171","-7.067","-2.806","-5.15","1.278","Block Effects"
"Non-group (develop) to develop group","-4.378","-6.481","-2.265","-4.392","1.284","Block Effects"
"develop group to Non-group (develop)","-5.214","-7.268","-2.961","-5.22","1.277","Block Effects"
"develop group to develop group","-3.185","-5.417","-1.109","-3.197","1.319","Block Effects"
