"Variable","Median","HPDI:L","HPDI:H","Mean","SD","type"
"Sender effects SD","1.076","0.786","1.427","1.103","0.204","Sender Effects"
"Wealth sender effect","0.614","0.358","0.883","0.612","0.164","Sender Effects"
"Receiver effects SD","1.028","0.761","1.326","1.043","0.18","Receiver Effects"
"Dyadic effects SD","0.497","0.001","1.117","0.559","0.393","Dyadic Effects"
"Wealth distance","-1.151","-1.949","-0.343","-1.157","0.495","Dyadic Effects"
"Genetic relatedness","3.21","1.88","4.688","3.2","0.851","Dyadic Effects"
"Physical distance","-3.662","-4.452","-2.9","-3.672","0.475","Dyadic Effects"
"Generalized reciprocity","0.117","-0.155","0.443","0.11","0.181","Dyadic Effects"
"Dyadic reciprocity","0.445","-0.306","0.954","0.345","0.418","Dyadic Effects"
"Any to Any","-2.066","-5.644","1.72","-2.077","2.262","Block Effects"
"religious group to religious group","-4.956","-7.008","-2.729","-4.935","1.304","Block Effects"
"religious group to Non-group ","-4.214","-6.31","-2.048","-4.193","1.296","Block Effects"
"Non-group to religious group","-4.757","-6.897","-2.606","-4.752","1.311","Block Effects"
"Non-group to Non-group","-3.97","-6.058","-1.733","-3.969","1.321","Block Effects"
"Non-group (develop) to Non-group (develop)","-5.076","-6.978","-2.99","-5.088","1.224","Block Effects"
"Non-group (develop) to develop group","-4.762","-6.65","-2.627","-4.75","1.231","Block Effects"
"develop group to Non-group (develop)","-4.512","-6.729","-2.583","-4.496","1.25","Block Effects"
"develop group to develop group","-3.232","-5.191","-0.992","-3.218","1.269","Block Effects"
