"","pessu101108","pessu102","pessu103","pessu104161","pessu105","pessu106","pessu107","pessu110","pessu111","pessu112","pessu113","pessu116","pessu117","pessu119","pessu120","pessu121","pessu122","pessu123124","pessu125","pessu126","pessu127","pessu128","pessu129","pessu131132","pessu133","pessu134","pessu135","pessu137","pessu138","pessu139","pessu143","pessu144","pessu145157","pessu147","pessu148","pessu149","pessu152154","pessu162"
"pessu101108",0,71.9666649469231,58.8472889498368,854.711717481583,90.4245703076536,234.735492328225,188.302257100326,209.98157321984,194.321552543291,195.39026284884,235.186918832767,35.7894300531088,508.132659879944,NA,235.17893730612,360.255431590877,109.411785540595,43.0856413737262,563.644627422241,455.963663891625,562.452950362808,564.303332505975,50.4440802359,250.618271201812,470.980969462383,163.332897897995,201.636960008334,109.682801040442,72.888544986211,25.6947297791403,539.405152146268,545.123882398391,549.035670015907,472.248704699687,482.181503060047,494.75507309083,477.87740392932,NA
"pessu102",71.9666649469231,0,13.1200047894789,816.890701883648,25.3434656644954,235.007689281726,258.071533350902,210.698676154199,264.569032261026,266.450846769607,231.615430740306,36.4942114320416,519.521437469145,NA,236.227671086272,369.731032188782,59.6887187500499,33.8852325813018,519.185288496227,523.097464193189,521.753698171893,522.163101737322,37.2383647712099,206.418376045568,536.97146322979,233.724071664136,203.36018361754,56.4397779904634,5.95727718053431,48.3506201368158,610.410232590384,615.970370694552,507.868298740011,539.036524332269,548.588839935502,560.732113765408,533.308936171311,NA
"pessu103",58.8472889498368,13.1200047894789,0,823.346003791951,35.3306854117628,233.193816439361,245.23244074064,208.611519121866,251.66786154474,253.441919005801,230.486651174985,23.479656884412,516.603656617578,NA,234.280277634311,366.857446133098,65.8511297698065,22.548179627734,526.743671960238,510.720925533373,528.578737190767,529.269867192692,28.6361910181755,213.255178935396,524.779976380321,220.79475983722,201.021955089428,63.5415854658113,14.970748763107,35.522565214212,597.430724346161,603.015711704138,514.771370579522,526.71805484318,536.333031024209,548.547771506321,522.832182974753,NA
"pessu104161",854.711717481583,816.890701883648,823.346003791951,0,825.986797320551,650.004062712347,927.736548595657,669.311505457614,936.485582468895,948.661548528846,642.946117375724,838.303364357879,559.215229727586,NA,651.13049658592,600.180324107979,855.201407692871,844.243622685972,304.224157904135,1043.24298867572,295.741600011034,296.866443282529,810.092302440037,610.498622759126,1035.57493877741,921.869434235161,677.156539449861,849.422612539404,811.410940477602,848.420217973311,1180.50288626646,1179.82830282447,309.876031353911,1048.05938143514,1048.48078984383,1049.84169964194,915.342742606666,NA
"pessu105",90.4245703076536,25.3434656644954,35.3306854117628,825.986797320551,0,257.02399638907,278.553943072696,233.031329651225,284.695610695772,285.787076036594,252.985709515952,55.0671910270115,542.193017018992,NA,258.362630439005,392.466766775895,36.4678146203138,47.7809697013575,526.184763201473,545.163321381959,530.359676840749,530.162581808452,62.419836680592,216.168491723956,559.503805333676,253.720398737298,225.931543090943,32.32249900455,29.7416166555622,64.9539639745033,629.763005541707,635.518519382647,516.329598715822,561.256087436044,570.966023019667,583.278086600572,558.060515507817,NA
"pessu106",234.735492328225,235.007689281726,233.193816439361,650.004062712347,257.02399638907,0,279.547282587683,24.8973562278615,288.446574904869,300.012967397246,12.5964018265235,235.478582603298,285.568597201714,NA,2.67476270379423,136.373111475171,293.464496281074,245.704046131744,386.785317525957,459.221073192937,374.609013420013,380.422265659999,207.66963530137,151.211257694814,462.313933633274,272.070934542421,33.1161030735157,289.261542524688,229.275257110944,240.6060895718,583.054236451242,585.301771962016,363.39827324589,470.45117943717,475.896864263525,483.424179967222,398.720881000176,NA
"pessu107",188.302257100326,258.071533350902,245.23244074064,927.736548595657,278.553943072696,279.547282587683,0,263.417939148036,8.97125785248482,21.3800151601865,288.183062074918,223.51318364289,471.834774834915,NA,278.114975612559,349.269776018046,295.739226309376,231.373465310088,664.013973826107,269.425101531697,653.610367885839,658.916198350682,226.333933845598,377.684033922401,286.131729062396,25.9146192083953,256.566550479043,296.785060925002,257.567242888639,213.981790767536,353.066789417091,358.343671968687,642.046286309689,286.1230730259,296.576408461683,309.761911511636,318.691946867718,NA
"pessu110",209.98157321984,210.698676154199,208.611519121866,669.311505457614,233.031329651225,24.8973562278615,263.417939148036,0,272.374175701675,283.425608095374,26.8440932989824,210.617125378087,309.197724449965,NA,25.7214637590857,159.58575243566,269.425103490683,220.878782451875,400.770632154861,455.63972490393,390.305159928719,395.501733849942,182.890707894982,145.395155758816,460.077991879638,254.269078031023,8.47020827915076,265.318686302209,205.00842692767,215.708929343341,576.463548540814,579.086515505058,378.648888920673,467.560877489524,473.563633797979,481.734529237045,403.872156442659,NA
"pessu111",194.321552543291,264.569032261026,251.66786154474,936.485582468895,284.695610695772,288.446574904869,8.97125785248482,272.374175701675,0,13.7623636642666,297.113879795007,229.717089448454,478.624109520134,NA,287.004953191703,357.142983847191,301.113632401156,237.33617141744,672.98109606518,264.928274663758,662.55227897402,667.869990607069,233.311046703531,386.430108412269,282.172482029147,31.0003093954211,265.530979618853,302.295290760417,264.203822569905,219.958384042477,346.102053113215,351.504542071184,650.996828291662,281.756483289758,292.369955131187,305.72210190238,318.709342203378,NA
"pessu112",195.39026284884,266.450846769607,253.441919005801,948.661548528846,285.787076036594,300.012967397246,21.3800151601865,283.425608095374,13.7623636642666,0,308.443556522722,231.054155052567,492.386365520837,NA,298.62871399656,370.596218190045,300.658107209193,238.159701426165,683.73612766533,267.999732115844,673.72209170131,678.89109841105,236.336065742957,394.788061913306,286.117098326179,34.1351439979707,276.434561821419,302.097639508892,266.390961629144,220.85672229509,344.035299321022,349.734346206031,662.064110608521,285.020428228386,295.887291820322,309.496386559464,328.01035802232,NA
