"","pessu101108","pessu102","pessu103","pessu104161","pessu105","pessu106","pessu107","pessu110","pessu111","pessu112","pessu113","pessu116","pessu117","pessu119","pessu120","pessu121","pessu122","pessu123124","pessu125","pessu126","pessu127","pessu128","pessu129","pessu131132","pessu133","pessu134","pessu135","pessu137","pessu138","pessu139","pessu143","pessu144","pessu145157","pessu147","pessu148","pessu149","pessu152154","pessu162"
"pessu101108",0.291208791208791,0,0,0,0.107142857142857,0.107142857142857,0,0,0.0428571428571429,0,0,0.107142857142857,0,0,0,0,0,0.0964285714285714,0,0,0,0,0,0,0,0,0,0.0535714285714286,0,0.0535714285714286,0,0,0,0.0535714285714286,0.107142857142857,0.107142857142857,0,0
"pessu102",0,0.45,0.125,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0.0572916666666667,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0
"pessu103",0,0.125,0.466666666666667,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0.0572916666666667,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0
"pessu104161",0,0,0,0.345238095238095,0,0,0,0,0,0,0,0,0.0583333333333333,0,0,0.0291666666666667,0,0.0116666666666667,0.0291666666666667,0,0.0583333333333333,0.0486111111111111,0,0,0,0,0,0,0,0,0.116666666666667,0,0.0954545454545455,0,0,0,0,0
"pessu105",0.107142857142857,0,0,0,0.492424242424242,0.125,0,0,0.05,0,0,0.125,0,0,0,0,0,0.1125,0,0,0,0,0,0,0,0,0,0.25,0,0.0625,0,0,0,0.125,0.375,0.25,0.0546875,0
"pessu106",0.107142857142857,0,0,0,0.125,0.486111111111111,0,0,0.05,0,0.0625,0.125,0,0,0.0625,0,0,0.1125,0,0,0,0,0,0.117647058823529,0,0,0,0.0625,0,0.0625,0,0,0,0.0625,0.125,0.125,0,0
"pessu107",0,0.03125,0.03125,0,0,0,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0.229166666666667,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0
"pessu110",0,0,0,0,0,0,0,0.486111111111111,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"pessu111",0.0428571428571429,0,0,0,0.05,0.05,0,0,0.25,0,0,0.05,0,0,0,0,0.05,0.045,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.025,0.05,0.05,0,0
"pessu112",0,0,0,0,0,0,0,0,0,0.160714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pessu113",0,0,0,0,0,0.0625,0,0,0,0,0.333333333333333,0,0,0,0.125,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pessu116",0.107142857142857,0,0,0,0.125,0.125,0,0,0.05,0,0,0.45,0,0,0,0,0,0.1125,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0.0625,0.125,0.125,0,0
"pessu117",0,0,0,0.0583333333333333,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.00625,0.015625,0,0.03125,0.0260416666666667,0,0,0,0,0,0,0,0,0.0625,0,0.0227272727272727,0,0,0,0,0
"pessu119",0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pessu120",0,0,0,0,0,0.0625,0,0,0,0,0.125,0,0,0,0.45,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pessu121",0,0,0,0.0291666666666667,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204545454545455,0,0,0,0,0
"pessu122",0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.482142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pessu123124",0.0964285714285714,0,0,0.0116666666666667,0.1125,0.1125,0,0.0875,0.045,0,0,0.1125,0.00625,0,0,0,0,0.333333333333333,0.0125,0,0.1,0.0208333333333333,0,0,0,0,0.07,0.05625,0,0.05625,0.0125,0,0.00454545454545455,0.05625,0.1125,0.1125,0,0
"pessu125",0,0,0,0.0291666666666667,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0.0125,0.482142857142857,0,0.0625,0.208333333333333,0,0,0,0,0,0,0,0,0.03125,0,0.0113636363636364,0,0,0,0,0
"pessu126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546875,0
"pessu127",0,0,0,0.0583333333333333,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.1,0.0625,0,0.486111111111111,0.104166666666667,0,0,0,0,0,0,0,0,0.0625,0,0.0227272727272727,0,0,0,0,0
"pessu128",0,0,0,0.0486111111111111,0,0,0,0,0,0,0,0,0.0260416666666667,0,0,0,0,0.0208333333333333,0.208333333333333,0,0.104166666666667,0.3,0,0,0,0,0,0,0,0,0.0520833333333333,0,0.0189393939393939,0,0,0,0,0
"pessu129",0,0.0446428571428571,0.0446428571428571,0,0,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0.0818452380952381,0,0,0.0510204081632653,0,0,0,0,0,0,0,0,0
